year,state,typical_home_value
2014,Missouri,125832.766912
2014,Montana,200722.577758
2014,Nebraska,133537.500980
2014,Nevada,189772.743687
2014,New Hampshire,214538.799262
2014,New Jersey,291794.622122
2014,New Mexico,163829.960487
2014,New York,266840.138407
2014,North Carolina,153439.682137
2014,North Dakota,203947.381029
2014,Ohio,115331.118746
2014,Oklahoma,113170.576310
2014,Oregon,236267.522252
2014,Pennsylvania,154415.308815
2014,Rhode Island,221680.773538
2014,South Carolina,145543.621816
2014,South Dakota,162377.142228
2014,Tennessee,140093.248484
2014,Texas,151530.961891
2014,Utah,224316.286323
2014,Vermont,223199.675837
2014,Virginia,229926.298118
2014,Washington,252956.184511
2014,West Virginia,100448.564719
2014,Wisconsin,155590.991940
2014,Wyoming,213533.000296
2015,Alabama,132534.876628
2015,Alaska,274862.525905
2015,Arizona,200126.269182
2015,Arkansas,125042.366832
2015,California,412913.286517
2015,Colorado,282922.967516
2015,Connecticut,236209.845566
2015,Delaware,232439.008647
2015,District of Columbia,480932.747078
2015,Florida,179036.402691
2015,Georgia,150743.287968
2015,Hawaii,505811.613067
2015,Idaho,183431.218873
2015,Illinois,162001.588068
2015,Indiana,121038.654910
2015,Iowa,131643.605722
2015,Kansas,124201.614530
2015,Kentucky,111342.459941
2015,Louisiana,166147.296582
2015,Maine,183258.670889
2015,Maryland,272835.154153
2015,Massachusetts,336976.437366
2015,Michigan,124263.461577
2015,Minnesota,192846.213520
2015,Mississippi,121081.722121
2015,Missouri,131033.893714
2015,Montana,213251.977286
2015,Nebraska,139552.548011
2015,Nevada,206072.150879
2015,New Hampshire,223455.113077
2015,New Jersey,298430.718839
2015,New Mexico,166866.881677
2015,New York,275423.669697
2015,North Carolina,158789.793211
2015,North Dakota,220238.619517
2015,Ohio,120066.161884
2015,Oklahoma,117819.752724
2015,Oregon,258099.176112
2015,Pennsylvania,157130.145763
2015,Rhode Island,229151.044591
2015,South Carolina,151368.692697
2015,South Dakota,169480.699119
2015,Tennessee,147369.161000
2015,Texas,164119.280214
2015,Utah,238194.439207
2015,Vermont,228407.698939
2015,Virginia,235105.526967
2015,Washington,273097.193920
2015,West Virginia,106572.837503
2015,Wisconsin,160370.386086
2015,Wyoming,225233.426360
2016,Alabama,137310.483992
2016,Alaska,281647.499074
2016,Arizona,216820.019575
2016,Arkansas,131061.602483
2016,California,440535.781981
2016,Colorado,315269.624560
2016,Connecticut,239068.909777
2016,Delaware,243101.896059
