year,state,median_salary
2014,Montana,64150
2015,Montana,64570
2016,Montana,71070
2017,Montana,70250
2018,Montana,69190
2019,Montana,71150
2020,Montana,66380
2021,Montana,72790
2022,Montana,75870
2023,Montana,79220
1984,Nebraska,56250
1985,Nebraska,55430
1986,Nebraska,54460
1987,Nebraska,56300
1988,Nebraska,58700
1989,Nebraska,58830
1990,Nebraska,58580
1991,Nebraska,60780
1992,Nebraska,60270
1993,Nebraska,60700
1994,Nebraska,60900
1995,Nebraska,61620
1996,Nebraska,62010
1997,Nebraska,61920
1998,Nebraska,64120
1999,Nebraska,66640
2000,Nebraska,69620
2001,Nebraska,71120
2002,Nebraska,68940
2003,Nebraska,69390
2004,Nebraska,67400
2005,Nebraska,71690
2006,Nebraska,70000
2007,Nebraska,69700
2008,Nebraska,69360
2009,Nebraska,68090
2010,Nebraska,71110
2011,Nebraska,73050
2012,Nebraska,67260
2013,Nebraska,73370
2014,Nebraska,71390
2015,Nebraska,75970
2016,Nebraska,73930
2017,Nebraska,72910
2018,Nebraska,81060
2019,Nebraska,86370
2020,Nebraska,84520
2021,Nebraska,87470
2022,Nebraska,81480
2023,Nebraska,89190
1984,Nevada,67770
1985,Nevada,59180
1986,Nevada,65580
1987,Nevada,65030
1988,Nevada,65290
1989,Nevada,65580
1990,Nevada,68260
1991,Nevada,67750
1992,Nevada,64000
1993,Nevada,70100
1994,Nevada,68710
1995,Nevada,67520
1996,Nevada,70260
1997,Nevada,69350
1998,Nevada,70010
1999,Nevada,71530
2000,Nevada,76310
2001,Nevada,74050
2002,Nevada,72420
2003,Nevada,71300
2004,Nevada,72660
2005,Nevada,72120
2006,Nevada,76010
2007,Nevada,76630
2008,Nevada,74850
2009,Nevada,70610
2010,Nevada,69340
2011,Nevada,61790
2012,Nevada,61000
2013,Nevada,66010
2014,Nevada,62610
2015,Nevada,65340
2016,Nevada,69020
2017,Nevada,71030
2018,Nevada,74210
2019,Nevada,83820
2020,Nevada,71550
2021,Nevada,72050
2022,Nevada,75200
2023,Nevada,81310
1984,New Hampshire,68130
1985,New Hampshire,67130
1986,New Hampshire,76410
1987,New Hampshire,78250
1988,New Hampshire,80790
1989,New Hampshire,83890
1990,New Hampshire,86980
1991,New Hampshire,74110
1992,New Hampshire,79100
1993,New Hampshire,74310
1994,New Hampshire,67510
1995,New Hampshire,73300
1996,New Hampshire,71840
1997,New Hampshire,73180
1998,New Hampshire,79170
1999,New Hampshire,79450
2000,New Hampshire,84930
2001,New Hampshire,83710
2002,New Hampshire,89110
2003,New Hampshire,87680
2004,New Hampshire,87460
2005,New Hampshire,85250
2006,New Hampshire,90090
2007,New Hampshire,95790
2008,New Hampshire,90490
2009,New Hampshire,88040
2010,New Hampshire,90240
2011,New Hampshire,86530
2012,New Hampshire,87390
2013,New Hampshire,87980
2014,New Hampshire,92140
2015,New Hampshire,95070
2016,New Hampshire,94960
2017,New Hampshire,92550
2018,New Hampshire,97580
2019,New Hampshire,102700
2020,New Hampshire,104000
2021,New Hampshire,99490
2022,New Hampshire,88350
2023,New Hampshire,98780
1984,New Jersey,73020
1985,New Jersey,78770
1986,New Jersey,79330
1987,New Jersey,82850
1988,New Jersey,84670
1989,New Jersey,87440
1990,New Jersey,82560
1991,New Jersey,82370
1992,New Jersey,78230
1993,New Jersey,79280
1994,New Jersey,80990
1995,New Jersey,82190
1996,New Jersey,86540
1997,New Jersey,85710
1998,New Jersey,87740
1999,New Jersey,85800
2000,New Jersey,84060
2001,New Jersey,84430
2002,New Jersey,87900
2003,New Jersey,88430
2004,New Jersey,85090
2005,New Jersey,94800
2006,New Jersey,98950
2007,New Jersey,85770
2008,New Jersey,89300
2009,New Jersey,88930
2010,New Jersey,85280
2011,New Jersey,81880
2012,New Jersey,85940
2013,New Jersey,81170
2014,New Jersey,81900
2015,New Jersey,85880
2016,New Jersey,85260
2017,New Jersey,87180
2018,New Jersey,88980
2019,New Jersey,103700
2020,New Jersey,100100
